Day,Date High,High,Date Low,Low,Closing,Trades,Shares,Turnover,Last Traded,Days Traded
7/5/2010,5-Jul-10,68.5,5-Jul-10,68,68,23,26500,1802225,5-Jul-10,1
7/6/2010,6-Jul-10,68.25,6-Jul-10,68,68,14,11700,795875,6-Jul-10,1
7/7/2010,7-Jul-10,68.5,7-Jul-10,66,67.5,40,62600,4251050,7-Jul-10,1
7/8/2010,8-Jul-10,68,8-Jul-10,67,68,20,35800,2434200,8-Jul-10,1
7/9/2010,9-Jul-10,68,9-Jul-10,67,67.75,6,5300,359725,9-Jul-10,1
7/12/2010,12-Jul-10,68.25,12-Jul-10,67,67.5,9,10300,696850,12-Jul-10,1
7/13/2010,13-Jul-10,68.25,13-Jul-10,68,68.25,5,2500,170125,13-Jul-10,1
7/14/2010,14-Jul-10,68.25,14-Jul-10,68,68,4,2500,170375,14-Jul-10,1
7/15/2010,15-Jul-10,70,15-Jul-10,68.25,68.75,5,3100,213325,15-Jul-10,1
7/16/2010,16-Jul-10,70.5,16-Jul-10,69.5,70,19,22100,1547500,16-Jul-10,1
7/19/2010,19-Jul-10,70,19-Jul-10,70,70,1,100,7000,19-Jul-10,1
7/20/2010,20-Jul-10,70.75,20-Jul-10,68.5,70,14,10900,765175,20-Jul-10,1
7/21/2010,21-Jul-10,70,21-Jul-10,70,70,5,2200,154000,21-Jul-10,1
7/22/2010,22-Jul-10,71,22-Jul-10,70,70,9,4200,295000,22-Jul-10,1
7/23/2010,23-Jul-10,70.5,23-Jul-10,70,70.25,15,11800,826625,23-Jul-10,1
7/26/2010,26-Jul-10,69.25,26-Jul-10,69.25,69.25,1,100,6925,26-Jul-10,1
7/27/2010,27-Jul-10,70,27-Jul-10,67,68.5,7,4500,309750,27-Jul-10,1
7/28/2010,28-Jul-10,71,28-Jul-10,69,70.5,23,19900,1397700,28-Jul-10,1
7/29/2010,29-Jul-10,71,29-Jul-10,68.5,68.5,10,5500,385100,29-Jul-10,1
7/30/2010,30-Jul-10,71,30-Jul-10,69.75,70.5,24,22900,1611500,30-Jul-10,1
8/2/2010,2-Aug-10,74,2-Aug-10,71,71.9,9,1900,137290,2-Aug-10,1
8/3/2010,3-Aug-10,74,3-Aug-10,70.7,73,33,70700,5194780,3-Aug-10,1
8/4/2010,4-Aug-10,74.2,4-Aug-10,73,73.6,7,1300,95620,4-Aug-10,1
8/5/2010,5-Aug-10,72.1,5-Aug-10,70,70.4,9,10600,749810,5-Aug-10,1
8/6/2010,6-Aug-10,71,6-Aug-10,69,69.7,9,7600,532200,6-Aug-10,1
8/9/2010,9-Aug-10,69.5,9-Aug-10,67,68,27,31900,2166750,9-Aug-10,1
8/10/2010,10-Aug-10,70.1,10-Aug-10,63.5,70,27,33600,2199410,10-Aug-10,1
8/11/2010,11-Aug-10,70.5,11-Aug-10,70,70.2,32,23700,1659750,11-Aug-10,1
8/12/2010,12-Aug-10,70.1,12-Aug-10,70,70,6,7900,553210,12-Aug-10,1
8/13/2010,13-Aug-10,70,13-Aug-10,70,70,10,12000,840000,13-Aug-10,1
8/16/2010,16-Aug-10,74,16-Aug-10,70,73.9,20,27100,1957800,16-Aug-10,1
8/17/2010,17-Aug-10,74,17-Aug-10,72.1,72.1,12,2300,167920,17-Aug-10,1
8/18/2010,18-Aug-10,74,18-Aug-10,70,70.1,11,3300,237000,18-Aug-10,1
8/19/2010,19-Aug-10,75.4,19-Aug-10,70,71.2,10,4200,306540,19-Aug-10,1
8/20/2010,20-Aug-10,72,20-Aug-10,70,72,2,400,28200,20-Aug-10,1
8/23/2010,23-Aug-10,72,23-Aug-10,69,72,5,3700,258400,23-Aug-10,1
8/25/2010,25-Aug-10,70.4,25-Aug-10,70,70.1,7,12700,889290,25-Aug-10,1
8/26/2010,26-Aug-10,72,26-Aug-10,70,71.9,13,135700,9754990,26-Aug-10,1
8/27/2010,27-Aug-10,70,27-Aug-10,70,70,1,500,35000,27-Aug-10,1
8/30/2010,30-Aug-10,70.5,30-Aug-10,70,70.5,13,18800,1321050,30-Aug-10,1
8/31/2010,31-Aug-10,72,31-Aug-10,70,71,15,15300,1088100,31-Aug-10,1
9/1/2010,1-Sep-10,71,1-Sep-10,70.9,70.9,11,20000,1419700,1-Sep-10,1
9/2/2010,2-Sep-10,70.2,2-Sep-10,70,70.1,11,3400,238130,2-Sep-10,1
9/3/2010,3-Sep-10,73,3-Sep-10,71,71,8,5300,386690,3-Sep-10,1
9/6/2010,6-Sep-10,72,6-Sep-10,68,69.2,20,25300,1783200,6-Sep-10,1
9/7/2010,7-Sep-10,73,7-Sep-10,70,71.4,21,25300,1800700,7-Sep-10,1
9/8/2010,8-Sep-10,70.1,8-Sep-10,70,70,7,6500,455100,8-Sep-10,1
9/9/2010,9-Sep-10,76,9-Sep-10,70.1,72,50,259000,18624360,9-Sep-10,1
9/13/2010,13-Sep-10,78.5,13-Sep-10,72.6,77,112,187100,14328700,13-Sep-10,1
9/14/2010,14-Sep-10,82,14-Sep-10,78.2,78.7,93,79100,6302630,14-Sep-10,1
9/15/2010,15-Sep-10,86,15-Sep-10,75,84.5,114,122800,10115940,15-Sep-10,1
9/16/2010,16-Sep-10,90,16-Sep-10,82,86.4,63,54800,4760210,16-Sep-10,1
9/17/2010,17-Sep-10,86.4,17-Sep-10,84,85.7,24,20000,1704510,17-Sep-10,1
9/20/2010,20-Sep-10,84,20-Sep-10,83,83.8,18,63100,5298300,20-Sep-10,1
9/21/2010,21-Sep-10,86.7,21-Sep-10,84,84.2,31,36600,3091800,21-Sep-10,1
9/23/2010,23-Sep-10,92,23-Sep-10,85,85.6,113,139200,12215120,23-Sep-10,1
9/24/2010,24-Sep-10,87,24-Sep-10,85,85.1,37,35800,3074050,24-Sep-10,1
9/27/2010,27-Sep-10,88.2,27-Sep-10,84,84,10,5800,495780,27-Sep-10,1
9/28/2010,28-Sep-10,83,28-Sep-10,80,82.1,13,10600,855960,28-Sep-10,1
9/29/2010,29-Sep-10,81,29-Sep-10,80,80.6,12,53200,4257320,29-Sep-10,1
9/30/2010,30-Sep-10,88,30-Sep-10,82,82.1,20,19600,1668780,30-Sep-10,1
10/1/2010,1-Oct-10,84.5,1-Oct-10,81,84.5,19,12300,1015270,1-Oct-10,1
10/4/2010,4-Oct-10,85,4-Oct-10,81,82.9,17,212500,17254580,4-Oct-10,1
10/5/2010,5-Oct-10,83,5-Oct-10,80,83,18,203700,16902260,5-Oct-10,1
10/6/2010,6-Oct-10,81,6-Oct-10,79.1,79.9,29,30500,2441260,6-Oct-10,1
10/7/2010,7-Oct-10,80,7-Oct-10,75,80,8,32600,2604500,7-Oct-10,1
10/8/2010,8-Oct-10,80,8-Oct-10,80,80,10,8100,648000,8-Oct-10,1
10/11/2010,11-Oct-10,82,11-Oct-10,80,80,16,18900,1515000,11-Oct-10,1
10/12/2010,12-Oct-10,79.2,12-Oct-10,75,77,19,17600,1349130,12-Oct-10,1
10/13/2010,13-Oct-10,80,13-Oct-10,73,79,25,20000,1503170,13-Oct-10,1
10/15/2010,15-Oct-10,75,15-Oct-10,70.2,70.8,3,8500,601500,15-Oct-10,1
10/18/2010,18-Oct-10,71.3,18-Oct-10,71.2,71.2,5,3500,249220,18-Oct-10,1
10/19/2010,19-Oct-10,75,19-Oct-10,72.5,74.9,6,12500,936750,19-Oct-10,1
